Agency,n_resueltos,mediana_horas,mediana_dias,p90_horas
NYPD,41742,1.1177777777777778,0.046574074074074,6.349416666666671
DHS,920,8.358472222222222,0.34826967592592595,198.3906944444445
DEP,4929,23.216666666666665,0.967361111111111,220.66333333333307
DOHMH,2101,23.489444444444445,0.9787268518518518,3312.6644444444446
DSNY,8772,33.278888888888886,1.3866203703703703,188.01288888888894
DOT,5402,44.83722222222222,1.8682175925925928,381.0217222222225
NYC311-PRD,12,76.59666666666666,3.191527777777778,568.9728333333334
HPD,20608,81.21708333333333,3.3840451388888892,843.6560277777777
DCWP,485,98.0286111111111,4.084525462962962,790.0092777777779
DOB,2776,229.40027777777777,9.55834490740741,4171.429305555555
DPR,2687,333.0252777777778,13.87605324074074,8086.761166666667
DOE,52,348.8497222222222,14.535405092592592,3048.3699444444446
OTI,8,444.3572222222223,18.51488425925926,967.5421388888888
OOS,23,1006.8355555555556,41.95148148148148,1153.2131666666667
EDC,414,1032.5944444444444,43.02476851851851,6447.1433611111115
TLC,731,1532.256666666667,63.844027777777775,4317.2275
