Problem,Problem Detail,problem_family
Illegal Parking,Blocked Hydrant,Tráfico / Estacionamiento
Street Condition,Defective Hardware,Infraestructura vial
Noise - Vehicle,Car/Truck Music,Ruido
Noise - Street/Sidewalk,Loud Music/Party,Ruido
Noise - Helicopter,Other,Ruido
DOOR/WINDOW,DOOR,Otros
Damaged Tree,Branch Cracked and Will Fall,Árboles / Parques
Blocked Driveway,No Access,Tráfico / Estacionamiento
PLUMBING,TOILET,Otros
APPLIANCE,REFRIGERATOR,Otros
Noise - Residential,Loud Music/Party,Ruido
PAINT/PLASTER,WALL,Otros
FLOORING/STAIRS,FLOOR,Otros
Street Light Condition,Street Light Out,Infraestructura vial
UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,Otros
WATER LEAK,HEAVY FLOW,Agua / Alcantarillado
Illegal Dumping,Removal Request,Otros
Abandoned Vehicle,With License Plate,Otros
Traffic,Drag Racing,Otros
GENERAL,COOKING GAS,Otros
Rodent,Rat Sighting,Plagas / Roedores
Consumer Complaint,Other Store (Non-Food),Otros
Standing Water,Other - Explain Below,Agua / Alcantarillado
ELECTRIC,POWER OUTAGE,Otros
Dead/Dying Tree,Planted More Than 2 Years Ago,Árboles / Parques
Missed Collection,Bulky Trash,Otros
Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,Otros
Building/Use,Illegal Conversion Of Residential Building/Space,Otros
Encampment,,Otros
Traffic Signal Condition,Controller,Otros
SAFETY,FIRE ESCAPE,Otros
Derelict Vehicles,Derelict Vehicles,Otros
Elevator,Elevator - Single Device On Property/No Alternate Service,Otros
Air Quality,"Air: Dust, Other (Use Comments) (AE5)",Otros
HEAT/HOT WATER,APARTMENT ONLY,Calefacción / Agua Caliente
Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,Otros
Noise,Noise: Construction Before/After Hours (NM1),Ruido
Litter Basket Request,New Basket,Saneamiento
Sidewalk Condition,Blocked - Construction,Infraestructura vial
Sewer,Sewer Backup (Use Comments) (SA),Agua / Alcantarillado
Water System,Hydrant Running (WC3),Agua / Alcantarillado
Vendor Enforcement,Non-Food Vendor,Otros
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Infraestructura vial
For Hire Vehicle Complaint,Driver Complaint - Passenger,Otros
Asbestos,Asbestos Complaint (B1),Otros
Illegal Tree Damage,Branches Damaged,Árboles / Parques
General Construction/Plumbing,Fence - None/Inadequate,Otros
Animal in a Park,Animal Waste,Árboles / Parques
Homeless Person Assistance,Chronic,Otros
