Agency,n_resueltos,mediana_horas,mediana_dias,p90_horas
NYPD,9066331,0.8997222222222222,0.0374884259259259,5.150277777777778
DHS,218035,5.63,0.2345833333333333,130.23750000000007
OSE,69988,15.030555555555557,0.6262731481481482,840.4731944444447
DOHMH,465972,20.458333333333336,0.8524305555555556,15861.543361111115
DEP,1074231,20.916666666666668,0.8715277777777778,190.01666666666668
DOT,1313555,41.41277777777778,1.7255324074074074,524.3576111111114
DCWP,110935,42.55611111111112,1.7731712962962964,739.4667222222223
DCA,27905,43.72472222222222,1.8218634259259257,3832.429444444445
DSNY,2361414,52.41666666666666,2.1840277777777777,244.7333333333333
NYC311-PRD,1182,53.269999999999996,2.2195833333333335,541.7605833333333
HPD,4112635,98.70583333333332,4.112743055555556,923.5181111111112
DOB,605767,229.2580555555556,9.552418981481482,3564.4068888888896
OTI,741,239.8025,9.991770833333334,680.7483333333333
DOE,8579,290.85027777777776,12.118761574074073,5354.977944444444
DOITT,669,311.2561111111111,12.96900462962963,2046.9080000000017
DFTA,2605,339.8280555555556,14.159502314814816,619.9550555555555
DPR,677435,540.3911111111111,22.516296296296293,15793.03788888889
OOS,1753,1010.2986111111112,42.09577546296296,1221.3159444444443
TLC,146909,1139.7408333333333,47.48920138888889,3548.957555555556
EDC,136682,1439.8836111111111,59.99515046296296,26279.15963888889
